station,address,lon,lat,mikroby,bakterii_obshch,bakterii_termotol,taste,khlor_ostatok,color,mutnost,ferrum,nitraty,khloridy,zhestkost,okislaemost
РПНС Зеленый Луг,"улица Карбышева, 9/2",27.633184,53.952804,0.2,0,0,0,0,3,0.2,0,6.1,12,4.5,1
РПНС Филимонова,"улица Филимонова, 53а",27.631486,53.923578,0,0,0,0,0,3.4,0.2,0,11.1,22.5,4.1,1.4
РПНС Кульман,"улица Кульман, 65а",27.576267,53.92388,0.2,0,0,0,0,3,0.2,0,9.3,16.6,4.1,1
РПНС Некрасова,"улица Беды, 19а",27.588942,53.9325,0,0,0,0,0,3,0.1,0,8.2,15.4,4.4,0.8
РПНС Цнянская,"улица Цнянская, 14",27.585834,53.924903,0.2,0,0,0,0,3,0.2,0,8.4,14.7,4.2,0.9
РПНС Аэродромная,"улица Жуковского, 10 к.3",27.547404,53.880592,0,0,0,0,0,4,0.5,0,1.4,15.7,4.9,1.7
РПНС Курасовщина-1,"улица Корженевского, 4б",27.49797,53.84544,0,0,0,0,0,3,0.2,0,1.9,14.5,4.6,1.3
РПНС Курасовщина-3,"улица Кижеватова, 60а",27.530642,53.850082,0,0,0,0,0,5,0.5,0,1.8,16.9,4.5,1.2
РПНС Дружба,"улица Н.Орды, 20",27.561831,53.902257,0.8,0,0,0,0.39,4,0.1,0,0.99,21.1,3.7,3.6
РПНС Запад,"улица Одинцова, 12а",27.45574,53.89979,0.935483871,0,0,0,0.8,5,0.2,0,0.44,21.2,3.6,3.7
РПНС Каменная горка,"улица Неманская, 22",27.430776,53.910437,1,0,0,0,0.84,5,0.2,0,0.76,20.2,3.5,3.7
РПНС Красный бор,"улица Одинцова, 105в",27.428341,53.899244,1,0,0,0,0.86,5,0.2,0,0.86,23.7,3.9,3.8
РПНС Кунцевщина,"улица Лещинского, 21а",27.44646,53.911169,1,0,0,0,0.8,6,0.2,0,0.89,23.3,3.8,3.5
РПНС Веснянка,"проспект Победителей, 87",27.504788,53.932426,0,0,0,0,0,2,0.2,0,37.9,30,4.2,0.9
РПНС Танковая,"улица М.Танка, 22",27.533893,53.90945,0,0,0,0,0,3,0.1,0,20.4,34.2,5.1,1
РПНС Ангарская-2,"улица Байкальская, 41",27.686993,53.87024,0,0,0,0,0,3,0.1,0.1,2.1,9.8,3.1,1.4
РПНС Ангарская-3,"улица Герасименко, 49а",27.680292,53.884493,0.2,0,0,0,0,4,0.1,0.1,2.1,10.4,3.6,1.3
РПНС Шабаны,"улица Бачило, 22",27.701097,53.843501,0.4,0,0,0,0,1,0.1,0.1,1.4,13.9,3.2,1.8
РПНС Лошица,"улица Сырокомли, 11",27.55804,53.844361,0.4,0,0,0,0,7,0.5,0.1,1.5,11.8,5.4,1.4
РПНС Серебрянка,"проспект Рокоссовского, 12/2",27.594431,53.871727,0.1935483871,0,0,0,0,5,0.4,0.1,1.7,13.8,5.4,1.6
